ㄅ b
ㄋㄟˊ nei2
ㄋㄟˋ nei4
ㄋㄠ nao
ㄋㄠˇ nao3
ㄋㄠˊ nao2
ㄋㄠˋ nao4
ㄋㄡˇ nou3
ㄋㄡˊ nou2
ㄋㄡˋ nou4
ㄋㄢ nan
ㄋㄢˇ nan3
ㄋㄢˊ nan2
ㄋㄢˋ nan4
ㄋㄣˇ nen3
ㄋㄣˋ nen4
ㄋㄤ nang
ㄋㄤˇ nang3
ㄋㄤˊ nang2
ㄋㄤˋ nang4
ㄋㄤ˙ nang5
ㄋㄥˇ neng3
ㄋㄥˊ neng2
ㄋㄥˋ neng4
ㄋㄧ ni
ㄋㄧˇ ni3
ㄋㄧˊ ni2
ㄋㄧˋ ni4
ㄋㄧㄝ nie
ㄋㄧㄝˇ nie3
ㄋㄧㄝˊ nie2
ㄋㄧㄝˋ nie4
ㄋㄧㄠˇ niao3
ㄋㄧㄠˋ niao4
ㄋㄧㄡ niu
ㄋㄧㄡˇ niu3
ㄋㄧㄡˊ niu2
ㄋㄧㄡˋ niu4
ㄋㄧㄢ nian
ㄋㄧㄢˇ nian3
ㄋㄧㄢˊ nian2
ㄋㄧㄢˋ nian4
ㄋㄧㄣ nin
ㄋㄧㄣˇ nin3
ㄋㄧㄣˊ nin2
ㄋㄧㄣˋ nin4
ㄋㄧㄤˇ niang3
ㄋㄧㄤˊ niang2
ㄋㄧㄤˋ niang4
ㄋㄧㄥˇ ning3
ㄋㄧㄥˊ ning2
ㄋㄧㄥˋ ning4
ㄋㄨˇ nu3
ㄋㄨˊ nu2
ㄋㄨˋ nu4
ㄋㄨㄛˇ nuo3
ㄋㄨㄛˊ nuo2
ㄋㄨㄛˋ nuo4
ㄋㄨㄟˊ nui2
ㄋㄨㄢˇ nuan3
ㄋㄨㄢˋ nuan4
ㄋㄨㄣˊ nun2
ㄋㄨㄥˇ nong3
ㄋㄨㄥˊ nong2
ㄋㄨㄥˋ nong4
ㄋㄩˇ nu3
ㄋㄩˊ nu2
ㄋㄩˋ nu4
ㄋㄩㄝˋ nue4
ㄌ l
ㄌㄚ la
ㄌㄚˇ la3
ㄌㄚˊ la2
ㄌㄚˋ la4
ㄌㄚ˙ la5
ㄌㄛ lo
ㄌㄛ˙ lo5
ㄌㄜˋ le4
ㄌㄜ˙ le5
ㄌㄞˇ lai3
ㄌㄞˊ lai2
ㄌㄞˋ lai4
ㄌㄟ lei
ㄌㄟˇ lei3
ㄌㄟˊ lei2
ㄌㄟˋ lei4
ㄌㄟ˙ lei5
ㄌㄠ lao
ㄌㄠˇ lao3
ㄌㄠˊ lao2
ㄌㄠˋ lao4
ㄌㄡ lou
ㄌㄡˇ lou3
ㄌㄡˊ lou2
ㄌㄡˋ lou4
ㄌㄡ˙ lou5
ㄌㄢˇ lan3
ㄌㄢˊ lan2
ㄌㄢˋ lan4
ㄌㄤ lang
ㄌㄤˇ lang3
ㄌㄤˊ lang2
ㄌㄤˋ lang4
ㄌㄥ leng
ㄌㄥˇ leng3
ㄌㄥˊ leng2
ㄌㄥˋ leng4
ㄌㄧ li
ㄌㄧˇ li3
ㄌㄧˊ li2
ㄌㄧˋ li4
ㄌㄧ˙ li5
ㄌㄧㄚˇ lia3
ㄌㄧㄝ lie
ㄌㄧㄝˇ lie3
ㄌㄧㄝˊ lie2
ㄌㄧㄝˋ lie4
ㄌㄧㄠ liao
ㄌㄧㄠˇ liao3
ㄌㄧㄠˊ liao2
ㄌㄧㄠˋ liao4
ㄌㄧㄡ liu
ㄌㄧㄡˇ liu3
ㄌㄧㄡˊ liu2
ㄌㄧㄡˋ liu4
ㄌㄧㄢ lian
ㄌㄧㄢˇ lian3
ㄌㄧㄢˊ lian2
ㄌㄧㄢˋ lian4
ㄌㄧㄣˇ lin3
ㄌㄧㄣˊ lin2
ㄌㄧㄣˋ lin4
ㄌㄧㄤ liang
ㄌㄧㄤˇ liang3
ㄌㄧㄤˊ liang2
ㄌㄧㄤˋ liang4
ㄌㄧㄥ ling
ㄌㄧㄥˇ ling3
ㄌㄧㄥˊ ling2
ㄌㄧㄥˋ ling4
ㄌㄨ lu
ㄌㄨˇ lu3
ㄌㄨˊ lu2
ㄌㄨˋ lu4
ㄌㄨ˙ lu5
ㄌㄨㄛ luo
ㄌㄨㄛˇ luo3
ㄌㄨㄛˊ luo2
ㄌㄨㄛˋ luo4
ㄌㄨㄛ˙ luo5
ㄌㄨㄜˊ lue2
ㄌㄨㄢˇ luan3
ㄌㄨㄢˊ luan2
ㄌㄨㄢˋ luan4
ㄌㄨㄣ lun
ㄌㄨㄣˇ lun3
ㄌㄨㄣˊ lun2
ㄌㄨㄣˋ lun4
ㄌㄨㄥ long
ㄌㄨㄥˇ long3
ㄌㄨㄥˊ long2
ㄌㄨㄥˋ long4
ㄌㄩ lu
ㄌㄩˇ lu3
ㄌㄩˊ lu2
ㄌㄩˋ lu4
ㄌㄩㄝ lue
ㄌㄩㄝˇ lue3
ㄌㄩㄝˋ lue4
ㄌㄩㄢˇ luan3
ㄌㄩㄢˊ luan2
ㄍ g
ㄍㄚ ga
ㄍㄚˇ ga3
ㄍㄚˊ ga2
ㄍㄚˋ ga4
ㄍㄚ˙ ga5
ㄍㄜ ge
ㄍㄜˇ ge3
ㄍㄜˊ ge2
ㄍㄜˋ ge4
ㄍㄜ˙ ge5
ㄍㄞ gai
ㄍㄞˇ gai3
ㄍㄞˋ gai4
ㄍㄟˇ gei3
ㄍㄟˊ gei2
ㄍㄠ gao
ㄍㄠˇ gao3
ㄍㄠˋ gao4
ㄍㄡ gou
ㄍㄡˇ gou3
ㄍㄡˋ gou4
ㄍㄢ gan
ㄍㄢˇ gan3
ㄍㄢˋ gan4
ㄍㄣ gen
ㄍㄣˇ gen3
ㄍㄣˊ gen2
ㄍㄣˋ gen4
ㄍㄤ gang
ㄍㄤˇ gang3
ㄍㄤˋ gang4
ㄍㄥ geng
ㄍㄥˇ geng3
ㄍㄥˋ geng4
ㄍㄨ gu
ㄍㄨˇ gu3
ㄍㄨˊ gu2
ㄍㄨˋ gu4
ㄍㄨㄚ gua
ㄍㄨㄚˇ gua3
ㄍㄨㄚˊ gua2
ㄍㄨㄚˋ gua4
ㄍㄨㄛ guo
ㄍㄨㄛˇ guo3
ㄍㄨㄛˊ guo2
ㄍㄨㄛˋ guo4
ㄍㄨㄜˊ gue2
ㄍㄨㄞ guai
ㄍㄨㄞˇ guai3
ㄍㄨㄞˋ guai4
ㄍㄨㄟ gui
ㄍㄨㄟˇ gui3
ㄍㄨㄟˋ gui4
ㄍㄨㄢ guan
ㄍㄨㄢˇ guan3
ㄍㄨㄢˊ guan2
ㄍㄨㄢˋ guan4
ㄍㄨㄣ gun
ㄍㄨㄣˇ gun3
ㄍㄨㄣˊ gun2
ㄍㄨㄣˋ gun4
ㄍㄨㄤ guang
ㄍㄨㄤˇ guang3
ㄍㄨㄤˋ guang4
ㄍㄨㄥ gong
ㄍㄨㄥˇ gong3
ㄍㄨㄥˊ gong2
ㄍㄨㄥˋ gong4
ㄎ k
ㄎㄚ ka
ㄎㄚˇ ka3
ㄎㄚˋ ka4
ㄎㄜ ke
ㄎㄜˇ ke3
ㄎㄜˊ ke2
ㄎㄜˋ ke4
ㄎㄞ kai
ㄎㄞˇ kai3
ㄎㄞˋ kai4
ㄎㄠ kao
ㄎㄠˇ kao3
ㄎㄠˋ kao4
ㄎㄡ kou
ㄎㄡˇ kou3
ㄎㄡˋ kou4
ㄎㄢ kan
ㄎㄢˇ kan3
ㄎㄢˋ kan4
ㄎㄣ ken
ㄎㄣˇ ken3
ㄎㄣˋ ken4
ㄎㄤ kang
ㄎㄤˇ kang3
ㄎㄤˊ kang2
ㄎㄤˋ kang4
ㄎㄥ keng
ㄎㄥˇ keng3
ㄎㄧˊ ki2
ㄎㄨ ku
ㄎㄨˇ ku3
ㄎㄨˋ ku4
ㄎㄨㄚ kua
ㄎㄨㄚˇ kua3
ㄎㄨㄚˋ kua4
ㄎㄨㄛˇ kuo3
ㄎㄨㄛˋ kuo4
ㄎㄨㄞ kuai
ㄎㄨㄞˇ kuai3
ㄎㄨㄞˋ kuai4
ㄎㄨㄟ kui
ㄎㄨㄟˇ kui3
ㄎㄨㄟˊ kui2
ㄎㄨㄟˋ kui4
ㄎㄨㄢ kuan
ㄎㄨㄢˇ kuan3
ㄎㄨㄢˋ kuan4
ㄎㄨㄣ kun
ㄎㄨㄣˇ kun3
ㄎㄨㄣˋ kun4
ㄎㄨㄤ kuang
ㄎㄨㄤˇ kuang3
ㄎㄨㄤˊ kuang2
ㄎㄨㄤˋ kuang4
ㄎㄨㄥ kong
ㄎㄨㄥˇ kong3
ㄎㄨㄥˋ kong4
ㄏ h
ㄏㄚ ha
ㄏㄚˇ ha3
ㄏㄚˊ ha2
ㄏㄜ he
ㄏㄜˇ he3
ㄏㄜˊ he2
ㄏㄜˋ he4
ㄏㄞ hai
ㄏㄞˇ hai3
ㄏㄞˊ hai2
ㄏㄞˋ hai4
ㄏㄟ hei
ㄏㄟˇ hei3
ㄏㄠ hao
ㄏㄠˇ hao3
ㄏㄠˊ hao2
ㄏㄠˋ hao4
ㄏㄡ hou
ㄏㄡˇ hou3
ㄏㄡˊ hou2
ㄏㄡˋ hou4
ㄏㄢ han
ㄏㄢˇ han3
ㄏㄢˊ han2
ㄏㄢˋ han4
ㄏㄣ hen
ㄏㄣˇ hen3
ㄏㄣˊ hen2
ㄏㄣˋ hen4
ㄏㄤ hang
ㄏㄤˇ hang3
ㄏㄤˊ hang2
ㄏㄤˋ hang4
ㄏㄥ heng
ㄏㄥˊ heng2
ㄏㄥˋ heng4
ㄏㄧㄣˊ hin2
ㄏㄨ hu
ㄏㄨˇ hu3
ㄏㄨˊ hu2
ㄏㄨˋ hu4
ㄏㄨㄚ hua
ㄏㄨㄚˇ hua3
ㄏㄨㄚˊ hua2
ㄏㄨㄚˋ hua4
ㄏㄨㄚ˙ hua5
ㄏㄨㄛ huo
ㄏㄨㄛˇ huo3
ㄏㄨㄛˊ huo2
ㄏㄨㄛˋ huo4
ㄏㄨㄛ˙ huo5
ㄏㄨㄜˋ hue4
ㄏㄨㄞˊ huai2
ㄏㄨㄞˋ huai4
ㄏㄨㄞ˙ huai5
ㄏㄨㄟ hui
ㄏㄨㄟˇ hui3
ㄏㄨㄟˊ hui2
ㄏㄨㄟˋ hui4
ㄏㄨㄢ huan
ㄏㄨㄢˇ huan3
ㄏㄨㄢˊ huan2
ㄏㄨㄢˋ huan4
ㄏㄨㄣ hun
ㄏㄨㄣˇ hun3
ㄏㄨㄣˊ hun2
ㄏㄨㄣˋ hun4
ㄏㄨㄤ huang
ㄏㄨㄤˇ huang3
ㄏㄨㄤˊ huang2
ㄏㄨㄤˋ huang4
ㄏㄨㄤ˙ huang5
ㄏㄨㄥ hong
ㄏㄨㄥˇ hong3
ㄏㄨㄥˊ hong2
ㄏㄨㄥˋ hong4
ㄐ ji
ㄐㄡˊ jou2
ㄐㄧ ji
ㄐㄧˇ ji3
ㄐㄧˊ ji2
ㄐㄧˋ ji4
ㄐㄧㄚ jia
ㄐㄧㄚˇ jia3
ㄐㄧㄚˊ jia2
ㄐㄧㄚˋ jia4
ㄐㄧㄝ jie
ㄐㄧㄝˇ jie3
ㄐㄧㄝˊ jie2
ㄐㄧㄝˋ jie4
ㄐㄧㄝ˙ jie5
ㄐㄧㄠ jiao
ㄐㄧㄠˇ jiao3
ㄐㄧㄠˊ jiao2
ㄐㄧㄠˋ jiao4
ㄐㄧㄡ jiu
ㄐㄧㄡˇ jiu3
ㄐㄧㄡˋ jiu4
ㄐㄧㄢ jian
ㄐㄧㄢˇ jian3
ㄐㄧㄢˊ jian2
ㄐㄧㄢˋ jian4
ㄐㄧㄣ jin
ㄐㄧㄣˇ jin3
ㄐㄧㄣˋ jin4
ㄐㄧㄤ jiang
ㄐㄧㄤˇ jiang3
ㄐㄧㄤˊ jiang2
ㄐㄧㄤˋ jiang4
ㄐㄧㄥ jing
ㄐㄧㄥˇ jing3
ㄐㄧㄥˋ jing4
ㄐㄩ ju
ㄐㄩˇ ju3
ㄐㄩˊ ju2
ㄐㄩˋ ju4
ㄐㄩㄝ jue
ㄐㄩㄝˇ jue3
ㄐㄩㄝˊ jue2
ㄐㄩㄝˋ jue4
ㄐㄩㄢ juan
ㄐㄩㄢˇ juan3
ㄐㄩㄢˋ juan4
ㄐㄩㄣ jun
ㄐㄩㄣˇ jun3
ㄐㄩㄣˊ jun2
ㄐㄩㄣˋ jun4
ㄐㄩㄥ jiong
ㄐㄩㄥˇ jiong3
ㄐㄩㄥˋ jiong4
ㄑ qi
ㄑ˙ qi5
ㄑㄧ qi
ㄑㄧˇ qi3
ㄑㄧˊ qi2
ㄑㄧˋ qi4
ㄑㄧㄚ qia
ㄑㄧㄚˇ qia3
ㄑㄧㄚˊ qia2
ㄑㄧㄚˋ qia4
ㄑㄧㄝ qie
ㄑㄧㄝˇ qie3
ㄑㄧㄝˊ qie2
ㄑㄧㄝˋ qie4
ㄑㄧㄠ qiao
ㄑㄧㄠˇ qiao3
ㄑㄧㄠˊ qiao2
ㄑㄧㄠˋ qiao4
ㄑㄧㄡ qiu
ㄑㄧㄡˇ qiu3
ㄑㄧㄡˊ qiu2
ㄑㄧㄡˋ qiu4
ㄑㄧㄢ qian
ㄑㄧㄢˇ qian3
ㄑㄧㄢˊ qian2
ㄑㄧㄢˋ qian4
ㄑㄧㄣ qin
ㄑㄧㄣˇ qin3
ㄑㄧㄣˊ qin2
ㄑㄧㄣˋ qin4
ㄑㄧㄤ qiang
ㄑㄧㄤˇ qiang3
ㄑㄧㄤˊ qiang2
ㄑㄧㄤˋ qiang4
ㄑㄧㄥ qing
ㄑㄧㄥˇ qing3
ㄑㄧㄥˊ qing2
ㄑㄧㄥˋ qing4
ㄑㄩ qu
ㄑㄩˇ qu3
ㄑㄩˊ qu2
ㄑㄩˋ qu4
ㄑㄩㄝ que
ㄑㄩㄝˊ que2
ㄑㄩㄝˋ que4
ㄑㄩㄢ quan
ㄑㄩㄢˇ quan3
ㄑㄩㄢˊ quan2
ㄑㄩㄢˋ quan4
ㄑㄩㄣ qun
ㄑㄩㄣˇ qun3
ㄑㄩㄣˊ qun2
ㄑㄩㄣˋ qun4
ㄑㄩㄥ qiong
ㄑㄩㄥˇ qiong3
ㄑㄩㄥˊ qiong2
ㄑㄩㄥˋ qiong4
ㄒ xi
ㄒㄡˋ xou4
ㄒㄢˊ xan2
ㄒㄥˋ xeng4
ㄒㄧ xi
ㄒㄧˇ xi3
ㄒㄧˊ xi2
ㄒㄧˋ xi4
ㄒㄧㄚ xia
ㄒㄧㄚˇ xia3
ㄒㄧㄚˊ xia2
ㄒㄧㄚˋ xia4
ㄒㄧㄝ xie
ㄒㄧㄝˇ xie3
ㄒㄧㄝˊ xie2
ㄒㄧㄝˋ xie4
ㄒㄧㄠ xiao
ㄒㄧㄠˇ xiao3
ㄒㄧㄠˊ xiao2
ㄒㄧㄠˋ xiao4
ㄒㄧㄡ xiu
ㄒㄧㄡˇ xiu3
ㄒㄧㄡˊ xiu2
ㄒㄧㄡˋ xiu4
ㄒㄧㄢ xian
ㄒㄧㄢˇ xian3
ㄒㄧㄢˊ xian2
ㄒㄧㄢˋ xian4
ㄒㄧㄣ xin
ㄒㄧㄣˇ xin3
ㄒㄧㄣˊ xin2
ㄒㄧㄣˋ xin4
ㄒㄧㄤ xiang
ㄒㄧㄤˇ xiang3
