ˇ 
ˊ 
ˋ 
˙ 
ㄅ b
ㄍㄨㄛˋ guo
ㄍㄨㄜˊ gue
ㄍㄨㄞ guai
ㄍㄨㄞˇ guai
ㄍㄨㄞˋ guai
ㄍㄨㄟ gui
ㄍㄨㄟˇ gui
ㄍㄨㄟˋ gui
ㄍㄨㄢ guan
ㄍㄨㄢˇ guan
ㄍㄨㄢˊ guan
ㄍㄨㄢˋ guan
ㄍㄨㄣ gun
ㄍㄨㄣˇ gun
ㄍㄨㄣˊ gun
ㄍㄨㄣˋ gun
ㄍㄨㄤ guang
ㄍㄨㄤˇ guang
ㄍㄨㄤˋ guang
ㄍㄨㄥ gong
ㄍㄨㄥˇ gong
ㄍㄨㄥˊ gong
ㄍㄨㄥˋ gong
ㄎ k
ㄎㄚ ka
ㄎㄚˇ ka
ㄎㄚˋ ka
ㄎㄜ ke
ㄎㄜˇ ke
ㄎㄜˊ ke
ㄎㄜˋ ke
ㄎㄞ kai
ㄎㄞˇ kai
ㄎㄞˋ kai
ㄎㄞˋ kai
ㄎㄠ kao
ㄎㄠˇ kao
ㄎㄠˋ kao
ㄎㄡ kou
ㄎㄡˇ kou
ㄎㄡˋ kou
ㄎㄢ kan
ㄎㄢˇ kan
ㄎㄢˋ kan
ㄎㄣ ken
ㄎㄣˇ ken
ㄎㄣˋ ken
ㄎㄤ kang
ㄎㄤˇ kang
ㄎㄤˊ kang
ㄎㄤˋ kang
ㄎㄥ keng
ㄎㄥˇ keng
ㄎㄧˊ ki
ㄎㄨ ku
ㄎㄨˇ ku
ㄎㄨˋ ku
ㄎㄨㄚ kua
ㄎㄨㄚˇ kua
ㄎㄨㄚˋ kua
ㄎㄨㄛˇ kuo
ㄎㄨㄛˋ kuo
ㄎㄨㄞ kuai
ㄎㄨㄞˇ kuai
ㄎㄨㄞˋ kuai
ㄎㄨㄟ kui
ㄎㄨㄟˇ kui
ㄎㄨㄟˊ kui
ㄎㄨㄟˋ kui
ㄎㄨㄢ kuan
ㄎㄨㄢˇ kuan
ㄎㄨㄢˋ kuan
ㄎㄨㄣ kun
ㄎㄨㄣˇ kun
ㄎㄨㄣˋ kun
ㄎㄨㄤ kuang
ㄎㄨㄤˇ kuang
ㄎㄨㄤˊ kuang
ㄎㄨㄤˋ kuang
ㄎㄨㄥ kong
ㄎㄨㄥˇ kong
ㄎㄨㄥˋ kong
ㄏ h
ㄏㄚ ha
ㄏㄚˇ ha
ㄏㄚˊ ha
ㄏㄜ he
ㄏㄜˇ he
ㄏㄜˊ he
ㄏㄜˋ he
ㄏㄞ hai
ㄏㄞˇ hai
ㄏㄞˊ hai
ㄏㄞˋ hai
ㄏㄟ hei
ㄏㄟˇ hei
ㄏㄠ hao
ㄏㄠˇ hao
ㄏㄠˊ hao
ㄏㄠˋ hao
ㄏㄡ hou
ㄏㄡˇ hou
ㄏㄡˊ hou
ㄏㄡˋ hou
ㄏㄢ han
ㄏㄢˇ han
ㄏㄢˊ han
ㄏㄢˋ han
ㄏㄣ hen
ㄏㄣˇ hen
ㄏㄣˊ hen
ㄏㄣˋ hen
ㄏㄤ hang
ㄏㄤˇ hang
ㄏㄤˊ hang
ㄏㄤˋ hang
ㄏㄥ heng
ㄏㄥˊ heng
ㄏㄥˋ heng
ㄏㄧㄣˊ hin
ㄏㄨ hu
ㄏㄨ hu
ㄏㄨˇ hu
ㄏㄨˊ hu
ㄏㄨˋ hu
ㄏㄨㄚ hua
ㄏㄨㄚˇ hua
ㄏㄨㄚˊ hua
ㄏㄨㄚˋ hua
ㄏㄨㄚ˙ hua
ㄏㄨㄛ huo
ㄏㄨㄛˇ huo
